序號,機構名稱,行政區,地址,電話,核定收托人數,實際收托人數,評鑑結果
1,臺北市私立小哈利托嬰中心,中正區,臺北市中正區南昌路1段145號2樓,(02)33933104,32,32,109-甲
2,臺北市私立宥緣托嬰中心,中正區,臺北市中正區杭州南路1段131巷5號2樓,"(02)33225686
",30,27,111-乙
3,臺北市私立宥宜托嬰中心,中正區,臺北市中正區杭州南路1段131巷3號2樓,(02)23587111,30,28,111-乙
4,立法院附設臺北市私立員工子女托嬰中心(委託社團法人新北市嬰幼兒托育協會經營管理),中正區,臺北市中正區青島東路1-3號1樓,(02)23588542,45,45,111-優
5,臺北市私立小天心東門托嬰中心,中正區,臺北市中正區新生南路1段170巷14之11號1樓,(02)23435082,27,27,111-優
6,臺北市私立小天心晴晴托嬰中心,中正區,臺北市中正區師大路176號1樓,(02)23675580,33,33,110-甲
7,臺北市私立萌芽托嬰中心,中正區,臺北市中正區廈門街10號1樓,(02)23685881,20,20,111-乙
8,臺北市私立樂寶托嬰中心,中正區,臺北市中正區林森南路101號及101號之一1樓 ,(02)23581556,35,18,
9,臺北市私立小天心壹壹托嬰中心,中正區,臺北市中正區晉江街115號,(02)23650251,34,12,
10,臺北市政府社會局委託社團法人台北市幼兒園協會辦理臺北市中正托嬰中心,中正區,臺北市中正區詔安街29號1樓(螢橋國小新大樓),(02)23017171,40,40,109-優
11,臺北市政府社會局委託社團法人新北市國際兒童教育協會辦理臺北市新生托嬰中心,中正區,臺北市中正區新生南路1段54巷5弄2號1、2樓,(02)23517197,35,35,109-甲
12,臺北市政府社會局委託社團法人新北市春陽關懷協會經營管理臺北市南海社區公共托育家園,中正區,臺北市中正區延平南路207之1號1樓,(02)23113689,12,12,110-甲
13,臺北市私立詠荺托嬰中心,大同區,臺北市大同區重慶北路3段24號2樓,"(02)25961237
",20,20,109-乙
14,臺北市私立海王子托嬰中心,大同區,臺北市大同區延平北路2段278號3樓、3樓之3 ,(02)25531988,40,32,111-甲
15,臺北市私立喜樂大同托嬰中心 ,大同區,臺北市大同區重慶北路3段252巷2號2樓,(02)25850805,22,22,111-乙
16,臺北市私立小育龍延平托嬰中心,大同區,臺北市大同區延平北路2段242號2樓之1,(02)25573488,39,39,
17,臺北市政府社會局委託社團法人吾幼吾家教保協會辦理臺北市大同托嬰中心,大同區,臺北市大同區重慶北路3段120巷2號3樓,(02)25989926,45,45,111-優
18,臺北市政府社會局委託社團法人吾幼吾家教保協會經營管理臺北市明倫托嬰中心,大同區,臺北市大同區承德路3段285之8號,(02)25854808,40,40,
19,臺北市政府社會局委託臺北市嬰幼兒托育協會經營管理臺北市大龍社區公共托育家園,大同區,臺北市大同區哈密街47號(大龍國小),(02)25950892,12,12,111-優
20,臺北市政府社會局委託臺北市托育發展協會經營管理臺北市忠孝社區公共托育家園,大同區,臺北市大同區西寧北路32號1樓(忠孝國中),(02)25527337,12,12,111-優
21,臺北市政府社會局委託社團法人中華童心幸福關懷協會經營管理臺北市永樂社區公共托育家園,大同區,臺北市大同區延平北路2段266號1樓(永樂國小),(02)25530711,12,12,111-甲
22,臺北市私立漢妮托嬰中心,中山區,臺北市中山區明水路397巷7弄9號1樓,(02)85092613,20,19,110-甲
23,"臺北市私立卡兒堡托嬰中心
(原名稱:宜朵園蒙特梭利托嬰中心)",中山區,臺北市中山區基湖路149號1樓,(02)85026776,35,30,111-乙
24,臺北市私立日光貝比托嬰中心,中山區,臺北市中山區中山北路2段116巷9號2樓,(02)25717858,40,18,109-乙
25,臺北市私立笙愛托嬰中心,中山區,臺北市中山區松江路46巷9之1號2樓,(02)25812922,18,18,111-乙
26,臺北市私立韋斯登托嬰中心,中山區,臺北市中山區合江街105巷16號1樓,(02)25091368,19,19,110-乙
27,臺北市私立布萊茲托嬰中心,中山區,臺北市中山區合江街100巷11號1樓,(02)25081708,21,20,111-乙
28,臺北市私立龍江媽咪托嬰中心,中山區,臺北市中山區龍江路397巷10號1樓,(02)25051725,18,18,111-乙
29,臺北市私立愛寶貝大直園托嬰中心,中山區,臺北市中山區明水路443號1樓,(02)25336823,20,17,111-甲
30,臺北市私立大愛托嬰中心,中山區,臺北市中山區民生東路3段9巷5號及7號,(02)25065757,40,40,110-乙
31,臺北市私立寶貝托嬰中心,中山區,臺北市中山區民族東路512巷23號1樓,(02)25090007,20,20,110-甲
32,臺北市私立愛寶貝明水園托嬰中心,中山區,臺北市中山區明水路457號1樓,(02)25324766,26,26,111-甲
33,臺北市私立健寶兒長安托嬰中心,中山區,臺北市中山區龍江路23號2樓,(02)27116825,63,54,
